 ,Label,Area,Mean,Min,Max,Circ.,Median,AR,Round,Solidity
1,5XmNG2_2_FITC.tif,266.1118,3587.8471,237.0000,8917.0000,0.9210,3174.0000,1.1123,0.8990,0.9155
2,5XmNG2_2_FITC.tif,284.7566,134.8750,32.0000,203.0000,0.8547,134.0000,1.1216,0.8916,0.9008
3,5XmNG2_2_FITC.tif,188.1427,173.1351,80.0000,259.0000,0.9071,168.0000,1.1604,0.8618,0.9212
4,5XmNG2_2_FITC.tif,147.4632,686.5747,150.0000,1135.0000,0.9911,719.0000,1.1515,0.8684,0.9206
5,5XmNG2_2_FITC.tif,201.7026,1669.6639,242.0000,2741.0000,0.9215,1836.0000,1.0751,0.9302,0.9084
6,5XmNG2_2_FITC.tif,203.3975,990.8167,246.0000,1472.0000,0.9028,1047.0000,1.1621,0.8605,0.8955
7,5XmNG2_2_FITC.tif,233.9072,495.7899,171.0000,706.0000,0.9436,537.0000,1.2800,0.7812,0.9324
8,5XmNG2_2_FITC.tif,247.4670,168.4384,0.0000,223.0000,0.8564,170.0000,1.7088,0.5852,0.9097
9,5XmNG2_2_FITC.tif,332.2160,556.6071,66.0000,1149.0000,0.9428,525.0000,1.1577,0.8638,0.9378
10,5XmNG2_2_FITC.tif,189.8377,198.1071,46.0000,374.0000,0.8673,182.0000,1.4393,0.6948,0.8960
11,5XmNG2_2_FITC.tif,274.5867,1660.0926,105.0000,5601.0000,0.9503,749.0000,1.0662,0.9379,0.9231
12,5XmNG2_2_FITC.tif,225.4323,271.2556,56.0000,538.0000,0.9094,276.0000,1.1190,0.8936,0.9110
13,5XmNG2_2_FITC.tif,174.5829,215.3883,31.0000,396.0000,0.9226,194.0000,1.2618,0.7925,0.8996
14,5XmNG2_2_FITC.tif,286.4515,223.9290,128.0000,349.0000,0.8598,231.0000,1.4471,0.6910,0.9062
15,5XmNG2_2_FITC.tif,213.5674,230.8016,113.0000,375.0000,0.8814,233.0000,1.6168,0.6185,0.9368
16,5XmNG2_2_FITC.tif,100.0038,177.4746,111.0000,227.0000,0.9764,177.0000,1.1734,0.8522,0.9291
17,5XmNG2_2_FITC.tif,249.1620,237.3469,69.0000,367.0000,0.9036,244.0000,1.4983,0.6674,0.9484
18,5XmNG2_2_FITC.tif,110.1737,157.8462,129.0000,191.0000,0.4949,156.0000,2.3353,0.4282,0.6667
19,5XmNG2_2_FITC.tif,289.8415,643.5556,71.0000,1708.0000,0.9445,575.0000,1.3486,0.7415,0.9370
20,5XmNG2_2_FITC.tif,198.3126,267.7778,51.0000,457.0000,0.9854,279.0000,1.0615,0.9420,0.9360
21,5XmNG2_2_FITC.tif,116.9536,147.4638,90.0000,195.0000,0.9392,152.0000,1.1620,0.8606,0.8961
22,5XmNG2_2_FITC.tif,444.0846,2871.2786,199.0000,7401.0000,0.7932,2562.0000,1.3001,0.7692,0.8822
23,5XmNG2_2_FITC.tif,161.0231,271.6211,34.0000,1163.0000,1.0000,175.0000,1.0826,0.9237,0.9453
24,5XmNG2_2_FITC.tif,420.3549,1061.3589,89.0000,2357.0000,0.7849,1137.0000,1.8642,0.5364,0.9185
25,5XmNG2_2_FITC.tif,316.9612,441.2888,53.0000,957.0000,0.9742,434.0000,1.0935,0.9145,0.9373
26,5XmNG2_2_FITC.tif,179.6678,313.7642,112.0000,504.0000,0.8816,335.0000,1.3726,0.7285,0.8870
27,5XmNG2_2_FITC.tif,238.9921,585.8085,120.0000,997.0000,0.9383,635.0000,1.1866,0.8427,0.9246
28,5XmNG2_2_FITC.tif,301.7064,380.8933,31.0000,999.0000,0.9499,317.0000,1.1202,0.8927,0.9319
29,5XmNG2_2_FITC.tif,235.6022,230.6187,46.0000,390.0000,0.9504,242.0000,1.1125,0.8989,0.9267
30,5XmNG2_2_FITC.tif,323.7411,831.3874,59.0000,2093.0000,0.9275,663.0000,1.1637,0.8594,0.9432
31,5XmNG2_2_FITC.tif,300.0114,408.2034,103.0000,752.0000,0.9445,428.0000,1.3091,0.7639,0.9316
32,5XmNG2_2_FITC.tif,508.4939,506.5167,131.0000,1183.0000,0.6537,360.0000,2.3450,0.4264,0.8982
33,5XmNG2_2_FITC.tif,198.3126,163.8120,99.0000,234.0000,0.9562,162.0000,1.0772,0.9283,0.9360
34,5XmNG2_2_FITC.tif,249.1620,527.1565,75.0000,1949.0000,0.9275,242.0000,1.1371,0.8794,0.9333
