Slice,Count,Total Area,Average Size,%Area,Mean,Circ.,Solidity,Median
5XmNG2_1-1.tif,2211,308494.8488,139.5273,17.3596,624.9335,0.8564,0.9282,642.0149
5XmNG2_2-1.tif,1328,182018.3799,137.0620,10.2425,636.7982,0.8525,0.9269,645.9420
5XmNG3A_1-1.tif,1504,207915.1436,138.2415,11.6998,1658.0401,0.8657,0.9309,1697.6097
5XmNG3A_2-1.tif,1904,252452.5607,132.5906,14.2060,2734.8802,0.8561,0.9257,2719.3424
5XmNG3K_1-1.tif,1893,251109.8882,132.6518,14.1304,2046.7490,0.8486,0.9241,2058.4173
5XmNG3K_2-1.tif,1350,182745.0077,135.3667,10.2834,1916.9942,0.8592,0.9280,1931.2815
mNG2_1-1.tif,2755,388983.6112,141.1919,21.8889,801.7608,0.8379,0.9225,804.8083
mNG2_2-1.tif,1765,247115.7650,140.0089,13.9057,716.5565,0.8331,0.9211,715.7739
mNG3A_1-1.tif,2210,296491.7192,134.1591,16.6842,782.6558,0.8442,0.9224,785.5995
mNG3A_2-1.tif,1908,255227.3048,133.7669,14.3621,755.3207,0.8452,0.9226,757.2196
mNG3K_1-1.tif,2087,290504.9832,139.1974,16.3473,816.4344,0.8689,0.9304,809.9746
mNG3K_2-1.tif,2892,383736.6374,132.6890,21.5936,977.5212,0.8433,0.9216,978.9485
