 ,Label,Area,Mean,Min,Max,Circ.,Median,AR,Round,Solidity
1,mNG2_1.tif,171.5943,1235.5333,271.0000,2049.0000,0.8581,1287.0000,1.4393,0.6948,0.9419
2,mNG2_1.tif,185.9998,1812.9863,453.0000,3258.0000,0.8969,1956.0000,1.2351,0.8097,0.9451
3,mNG2_1.tif,90.6696,355.0421,178.0000,480.0000,0.8965,363.0000,1.2880,0.7764,0.9244
4,mNG2_1.tif,81.3484,227.1302,114.0000,365.0000,0.9027,224.0000,1.3419,0.7452,0.9275
5,mNG2_1.tif,211.8449,630.1760,172.0000,1005.0000,0.8887,642.0000,1.4117,0.7084,0.9524
6,mNG2_1.tif,198.7105,952.7313,388.0000,1772.0000,0.8063,943.0000,1.4131,0.7077,0.9187
7,mNG2_1.tif,136.4281,349.0652,137.0000,599.0000,0.9011,343.0000,1.4148,0.7068,0.9401
8,mNG2_1.tif,114.8199,312.6125,79.0000,550.0000,0.9222,309.0000,1.2925,0.7737,0.9426
9,mNG2_1.tif,138.5465,183.6544,72.0000,329.0000,0.9058,184.0000,1.3399,0.7463,0.9492
10,mNG2_1.tif,126.2595,301.9832,130.0000,583.0000,0.7236,285.0000,1.7558,0.5695,0.9212
11,mNG2_1.tif,144.0545,911.3324,221.0000,1593.0000,0.9098,950.0000,1.2139,0.8238,0.9497
12,mNG2_1.tif,192.7788,3545.1868,887.0000,7084.0000,0.9047,3629.0000,1.1335,0.8822,0.9411
13,mNG2_1.tif,110.1593,834.7154,229.0000,1427.0000,0.9274,847.0000,1.0950,0.9133,0.9319
14,mNG2_1.tif,279.2115,1529.4947,399.0000,2951.0000,0.6230,1458.0000,1.5248,0.6558,0.8427
15,mNG2_1.tif,213.1159,2065.8390,314.0000,3640.0000,0.8302,2249.0000,1.6978,0.5890,0.9464
16,mNG2_1.tif,144.4782,707.2757,258.0000,1299.0000,0.9378,686.0000,1.1354,0.8808,0.9459
17,mNG2_1.tif,149.1388,612.5284,199.0000,1330.0000,0.8091,562.0000,1.8586,0.5381,0.9437
18,mNG2_1.tif,196.5920,880.4526,232.0000,1569.0000,0.9147,875.0000,1.1710,0.8539,0.9489
19,mNG2_1.tif,119.0568,1750.5053,538.0000,3028.0000,0.7863,1706.0000,1.0920,0.9157,0.9094
20,mNG2_1.tif,98.7197,169.9356,72.0000,318.0000,0.8408,159.0000,1.7745,0.5635,0.9301
21,mNG2_1.tif,136.4281,271.4037,123.0000,440.0000,0.8617,270.0000,1.3768,0.7263,0.9360
22,mNG2_1.tif,159.7310,153.6976,53.0000,265.0000,0.6393,153.0000,2.1409,0.4671,0.8747
23,mNG2_1.tif,114.3962,118.3593,46.0000,231.0000,0.9367,117.0000,1.2283,0.8141,0.9424
24,mNG2_1.tif,167.7811,1251.6995,387.0000,2386.0000,0.8091,1195.0000,1.7123,0.5840,0.9340
25,mNG2_1.tif,157.6126,1144.1075,202.0000,2134.0000,0.8574,1161.0000,1.5927,0.6279,0.9335
26,mNG2_1.tif,119.0568,150.4733,54.0000,217.0000,0.7897,154.0000,1.9390,0.5157,0.9320
27,mNG2_1.tif,174.1365,148.1460,66.0000,234.0000,0.8899,148.0000,1.3984,0.7151,0.9481
28,mNG2_1.tif,118.2094,477.2330,88.0000,781.0000,0.8898,520.0000,1.1663,0.8574,0.9331
29,mNG2_1.tif,99.1434,262.4402,102.0000,484.0000,0.8759,261.0000,1.1920,0.8390,0.9141
30,mNG2_1.tif,177.1023,1340.3493,581.0000,2207.0000,0.8936,1292.0000,1.3031,0.7674,0.9404
31,mNG2_1.tif,191.9314,1611.1369,407.0000,3344.0000,0.8330,1560.0000,1.4522,0.6886,0.9292
32,mNG2_1.tif,99.5671,282.9319,115.0000,450.0000,0.8550,287.0000,1.5098,0.6623,0.9021
33,mNG2_1.tif,155.4941,400.8747,141.0000,613.0000,0.8380,428.0000,1.4978,0.6677,0.9398
34,mNG2_1.tif,122.8700,252.8448,134.0000,382.0000,0.8660,258.0000,1.2591,0.7942,0.9385
35,mNG2_1.tif,148.7151,304.7749,69.0000,555.0000,0.8747,319.0000,1.6395,0.6099,0.9486
36,mNG2_1.tif,188.1182,1133.5991,479.0000,1943.0000,0.9015,1088.0000,1.2099,0.8265,0.9477
37,mNG2_1.tif,132.1912,427.0865,173.0000,688.0000,0.8374,421.0000,1.6768,0.5964,0.9272
38,mNG2_1.tif,145.7493,311.8779,88.0000,488.0000,0.7981,329.0000,1.8348,0.5450,0.9361
39,mNG2_1.tif,162.2732,605.3525,197.0000,1021.0000,0.7143,621.0000,2.2040,0.4537,0.8855
40,mNG2_1.tif,118.6331,503.7714,117.0000,911.0000,0.9171,502.0000,1.1794,0.8479,0.9444
41,mNG2_1.tif,153.7994,292.7906,52.0000,511.0000,0.7200,297.0000,2.3852,0.4193,0.9416
42,mNG2_1.tif,92.7881,310.1096,153.0000,498.0000,0.9060,303.0000,1.0422,0.9595,0.9299
43,mNG2_1.tif,130.0727,650.8306,197.0000,1091.0000,0.9365,688.0000,1.1278,0.8867,0.9446
44,mNG2_1.tif,111.4304,211.2319,93.0000,338.0000,0.8547,213.0000,1.5469,0.6464,0.9148
45,mNG2_1.tif,132.6149,315.7444,120.0000,623.0000,0.8317,316.0000,1.7533,0.5703,0.9371
46,mNG2_1.tif,193.6262,970.7615,268.0000,1772.0000,0.8403,975.0000,1.6459,0.6076,0.9452
47,mNG2_1.tif,115.2436,192.7574,86.0000,375.0000,0.8424,188.0000,1.5960,0.6266,0.9315
48,mNG2_1.tif,172.4417,208.9853,79.0000,358.0000,0.8624,211.0000,1.3853,0.7219,0.9400
49,mNG2_1.tif,152.1046,690.7354,186.0000,1159.0000,0.8463,688.0000,1.3674,0.7313,0.9361
50,mNG2_1.tif,156.3415,434.1545,137.0000,678.0000,0.8641,454.0000,1.4892,0.6715,0.9365
51,mNG2_1.tif,116.9384,232.6232,65.0000,437.0000,0.8483,217.0000,1.4971,0.6680,0.9340
52,mNG2_1.tif,161.0021,865.9105,447.0000,1277.0000,0.8734,887.0000,1.4385,0.6952,0.9500
53,mNG2_1.tif,87.7038,515.6570,185.0000,920.0000,0.9021,525.0000,1.3309,0.7514,0.9262
54,mNG2_1.tif,95.7539,280.4602,79.0000,504.0000,0.9552,282.0000,1.0869,0.9200,0.9397
55,mNG2_1.tif,94.9065,1025.0670,295.0000,1905.0000,0.8995,957.0000,1.1047,0.9052,0.9218
56,mNG2_1.tif,137.6992,105.7415,51.0000,189.0000,0.7258,102.0000,2.2234,0.4498,0.9233
57,mNG2_1.tif,116.9384,949.8225,237.0000,1729.0000,0.9575,904.0000,1.0635,0.9403,0.9436
58,mNG2_1.tif,134.7333,978.9151,301.0000,1701.0000,0.8390,1016.0000,1.4280,0.7003,0.9258
59,mNG2_1.tif,166.9338,440.5838,105.0000,814.0000,0.7951,438.0000,1.7875,0.5594,0.9142
