 ,Label,Area,Mean,Min,Max,Circ.,Median,AR,Round,Solidity
1,mNG3K_2.tif,120.3279,654.2430,148.0000,955.0000,0.8663,685.0000,1.3501,0.7407,0.9296
2,mNG3K_2.tif,87.7038,1434.6667,322.0000,3202.0000,0.8241,1471.0000,1.5246,0.6559,0.9059
3,mNG3K_2.tif,90.2459,340.8028,165.0000,536.0000,0.9003,341.0000,1.4909,0.6708,0.9363
4,mNG3K_2.tif,192.7788,1417.6769,298.0000,3015.0000,0.9239,1381.0000,1.1494,0.8700,0.9479
5,mNG3K_2.tif,111.4304,526.5171,190.0000,837.0000,0.9198,517.0000,1.1749,0.8512,0.9359
6,mNG3K_2.tif,127.9543,1309.6689,330.0000,2352.0000,0.8513,1278.0000,1.6098,0.6212,0.9393
7,mNG3K_2.tif,155.9178,1278.6087,275.0000,2212.0000,0.8458,1284.0000,1.7184,0.5819,0.9534
8,mNG3K_2.tif,86.4327,698.1961,138.0000,1357.0000,0.9005,682.0000,1.2208,0.8191,0.9189
9,mNG3K_2.tif,145.3256,1460.6647,296.0000,3087.0000,0.8666,1438.0000,1.3111,0.7627,0.9384
10,mNG3K_2.tif,163.5442,1093.0207,276.0000,2289.0000,0.7499,1051.0000,1.5587,0.6415,0.9008
11,mNG3K_2.tif,116.9384,746.8732,114.0000,1495.0000,0.9213,733.0000,1.1663,0.8574,0.9436
12,mNG3K_2.tif,80.0774,494.6561,302.0000,735.0000,0.9303,504.0000,1.1095,0.9013,0.9287
13,mNG3K_2.tif,121.5990,632.3728,206.0000,1136.0000,0.7498,624.0000,1.5085,0.6629,0.8567
14,mNG3K_2.tif,93.6354,5649.4118,503.0000,13531.0000,0.9631,4008.0000,1.0937,0.9143,0.9505
15,mNG3K_2.tif,92.7881,2181.3607,361.0000,5285.0000,0.8034,1856.0000,1.5539,0.6435,0.8994
16,mNG3K_2.tif,128.3780,220.7921,93.0000,299.0000,0.7806,231.0000,1.1127,0.8987,0.8821
17,mNG3K_2.tif,152.5283,1423.7250,189.0000,2390.0000,0.9184,1587.0000,1.3362,0.7484,0.9536
18,mNG3K_2.tif,89.3985,271.3981,110.0000,497.0000,0.8653,269.0000,1.2986,0.7701,0.9056
19,mNG3K_2.tif,144.9019,662.8801,255.0000,1147.0000,0.7358,672.0000,1.2887,0.7760,0.8826
20,mNG3K_2.tif,127.9543,1628.9570,426.0000,2421.0000,0.9212,1740.0000,1.2071,0.8284,0.9379
21,mNG3K_2.tif,137.6992,1856.3846,723.0000,2645.0000,0.8911,1941.0000,1.2510,0.7993,0.9489
22,mNG3K_2.tif,180.0681,560.6400,173.0000,1011.0000,0.7616,535.0000,1.7231,0.5804,0.9159
23,mNG3K_2.tif,134.7333,342.2893,84.0000,676.0000,0.6885,324.0000,2.1790,0.4589,0.8858
24,mNG3K_2.tif,333.8675,1108.9810,279.0000,2239.0000,0.7405,1044.0000,1.7722,0.5643,0.9211
25,mNG3K_2.tif,140.2413,1238.1118,261.0000,2155.0000,0.8587,1258.0000,1.3678,0.7311,0.9311
26,mNG3K_2.tif,99.5671,620.1064,239.0000,982.0000,0.8153,629.0000,1.2692,0.7879,0.8785
27,mNG3K_2.tif,112.2778,326.8000,119.0000,488.0000,0.9194,338.0000,1.2778,0.7826,0.9347
28,mNG3K_2.tif,166.5101,752.7277,180.0000,1364.0000,0.8777,774.0000,1.2740,0.7849,0.9391
29,mNG3K_2.tif,119.0568,433.2028,153.0000,789.0000,0.8962,430.0000,1.3456,0.7431,0.9382
30,mNG3K_2.tif,123.7174,1268.7945,517.0000,1882.0000,0.8527,1322.0000,1.4587,0.6855,0.9270
31,mNG3K_2.tif,90.6696,533.4720,160.0000,918.0000,0.8700,536.0000,1.5549,0.6431,0.9185
32,mNG3K_2.tif,159.3073,1636.4574,551.0000,3078.0000,0.8723,1463.0000,1.3198,0.7577,0.9471
33,mNG3K_2.tif,119.9042,370.3852,143.0000,549.0000,0.8326,371.0000,1.4541,0.6877,0.9203
34,mNG3K_2.tif,109.3120,1095.2868,340.0000,1629.0000,0.7811,1125.0000,2.1400,0.4673,0.9214
35,mNG3K_2.tif,139.3939,821.8024,394.0000,1156.0000,0.7415,828.0000,2.0534,0.4870,0.9139
36,mNG3K_2.tif,187.6946,564.9955,174.0000,893.0000,0.7573,585.0000,2.0538,0.4869,0.9162
37,mNG3K_2.tif,200.8289,982.9325,421.0000,1571.0000,0.5031,965.0000,1.4578,0.6859,0.7424
38,mNG3K_2.tif,117.3621,407.5884,130.0000,711.0000,0.8514,389.0000,1.3432,0.7445,0.9203
39,mNG3K_2.tif,136.4281,532.2267,120.0000,1102.0000,0.8919,544.0000,1.5394,0.6496,0.9513
40,mNG3K_2.tif,128.8017,171.6184,72.0000,261.0000,0.9273,175.0000,1.2091,0.8270,0.9397
41,mNG3K_2.tif,159.7310,4050.6844,906.0000,8212.0000,0.8887,4114.0000,1.2218,0.8185,0.9390
42,mNG3K_2.tif,174.5602,2218.5558,332.0000,4410.0000,0.7620,2389.0000,1.9440,0.5144,0.9269
43,mNG3K_2.tif,176.6786,727.8945,114.0000,1248.0000,0.7777,810.0000,1.7336,0.5768,0.9085
44,mNG3K_2.tif,155.9178,3065.0054,442.0000,5972.0000,0.8272,2991.0000,1.3836,0.7228,0.9270
45,mNG3K_2.tif,118.6331,896.9000,132.0000,1410.0000,0.9347,971.0000,1.3206,0.7572,0.9508
46,mNG3K_2.tif,133.0386,516.9013,239.0000,915.0000,0.9170,494.0000,1.0708,0.9339,0.9373
47,mNG3K_2.tif,103.8040,189.8816,69.0000,280.0000,0.9171,194.0000,1.3046,0.7665,0.9333
48,mNG3K_2.tif,108.8883,1655.1323,432.0000,2834.0000,0.8418,1714.0000,1.2136,0.8240,0.9146
49,mNG3K_2.tif,118.2094,280.6882,177.0000,396.0000,0.9570,276.0000,1.1175,0.8949,0.9490
50,mNG3K_2.tif,107.1935,385.8617,128.0000,769.0000,0.7443,380.0000,2.1392,0.4675,0.9068
51,mNG3K_2.tif,132.6149,566.6358,175.0000,918.0000,0.8823,580.0000,1.3751,0.7272,0.9399
52,mNG3K_2.tif,93.2117,963.9500,183.0000,2098.0000,0.8304,913.0000,1.8547,0.5392,0.9302
53,mNG3K_2.tif,234.7241,242.6354,110.0000,480.0000,0.4932,232.0000,2.6198,0.3817,0.7512
54,mNG3K_2.tif,121.5990,1006.1080,469.0000,1365.0000,0.9400,1039.0000,1.0636,0.9402,0.9441
55,mNG3K_2.tif,152.9520,1461.2687,544.0000,2612.0000,0.7887,1309.0000,1.1497,0.8698,0.9025
56,mNG3K_2.tif,96.6013,468.9386,106.0000,844.0000,0.9156,453.0000,1.2505,0.7997,0.9325
57,mNG3K_2.tif,115.6673,302.5714,114.0000,522.0000,0.8942,298.0000,1.3720,0.7288,0.9349
58,mNG3K_2.tif,146.1730,171.8087,83.0000,262.0000,0.9167,171.0000,1.2554,0.7966,0.9452
59,mNG3K_2.tif,150.4099,921.5549,274.0000,1783.0000,0.8786,917.0000,1.3763,0.7266,0.9354
60,mNG3K_2.tif,101.2618,1185.1213,313.0000,2016.0000,0.9208,1173.0000,1.1776,0.8492,0.9428
61,mNG3K_2.tif,131.3438,622.2677,191.0000,1095.0000,0.8237,617.0000,1.6983,0.5888,0.9408
62,mNG3K_2.tif,189.3893,1487.5481,194.0000,2894.0000,0.7728,1547.0000,1.8780,0.5325,0.9188
63,mNG3K_2.tif,108.0409,1531.7294,439.0000,3595.0000,0.8445,1377.0000,1.1960,0.8361,0.9011
64,mNG3K_2.tif,112.2778,371.9094,175.0000,546.0000,0.8387,366.0000,1.0890,0.9183,0.9154
