 ,Label,Area,Mean,Min,Max,Circ.,Median,AR,Round,Solidity
1,5XmNG2_1_FITC.tif,320.3511,663.8624,68.0000,1404.0000,0.9091,637.0000,1.3403,0.7461,0.9265
2,5XmNG2_1_FITC.tif,135.5984,127.7125,34.0000,214.0000,0.9113,132.0000,1.3427,0.7448,0.9040
3,5XmNG2_1_FITC.tif,257.6369,790.2303,93.0000,1913.0000,0.9244,664.0000,1.2955,0.7719,0.9268
4,5XmNG2_1_FITC.tif,289.8415,1218.6550,79.0000,3429.0000,0.9542,752.0000,1.0456,0.9564,0.9370
5,5XmNG2_1_FITC.tif,211.8724,130.3520,61.0000,253.0000,0.9517,129.0000,1.0800,0.9259,0.9294
6,5XmNG2_1_FITC.tif,138.9883,130.0854,28.0000,271.0000,0.9680,129.0000,1.2634,0.7915,0.9111
7,5XmNG2_1_FITC.tif,154.2431,100.7802,0.0000,209.0000,0.9097,98.0000,1.4000,0.7143,0.8922
8,5XmNG2_1_FITC.tif,261.0269,368.0974,80.0000,664.0000,0.8301,376.0000,1.6307,0.6133,0.9086
9,5XmNG2_1_FITC.tif,147.4632,260.8966,84.0000,366.0000,0.9911,267.0000,1.2186,0.8206,0.9305
10,5XmNG2_1_FITC.tif,103.3938,112.7541,52.0000,189.0000,0.8633,112.0000,1.7181,0.5820,0.9037
11,5XmNG2_1_FITC.tif,162.7180,325.3854,171.0000,428.0000,0.9729,335.0000,1.1312,0.8840,0.9320
12,5XmNG2_1_FITC.tif,240.6871,399.8944,38.0000,731.0000,0.8729,383.0000,1.1327,0.8828,0.9191
13,5XmNG2_1_FITC.tif,318.6562,200.2979,42.0000,322.0000,0.9565,215.0000,1.0938,0.9143,0.9400
14,5XmNG2_1_FITC.tif,137.2933,220.8272,0.0000,758.0000,1.0000,145.0000,1.0264,0.9742,0.9364
15,5XmNG2_1_FITC.tif,176.2779,497.5288,134.0000,743.0000,0.7863,539.0000,1.6746,0.5972,0.8595
16,5XmNG2_1_FITC.tif,277.9767,210.8171,30.0000,442.0000,0.9058,214.0000,1.4602,0.6848,0.9188
17,5XmNG2_1_FITC.tif,277.9767,2405.3476,136.0000,6380.0000,0.9620,1890.0000,1.1180,0.8944,0.9318
18,5XmNG2_1_FITC.tif,459.3395,609.3247,101.0000,1256.0000,0.8118,560.0000,1.4184,0.7050,0.9109
19,5XmNG2_1_FITC.tif,157.6331,392.4731,219.0000,545.0000,0.8997,389.0000,1.3487,0.7415,0.8986
20,5XmNG2_1_FITC.tif,145.7682,301.0000,154.0000,485.0000,0.9942,301.0000,1.1353,0.8808,0.9399
21,5XmNG2_1_FITC.tif,283.0616,364.7425,63.0000,813.0000,0.9224,320.0000,1.2557,0.7963,0.9252
22,5XmNG2_1_FITC.tif,530.5286,980.0192,221.0000,1747.0000,0.8401,1020.0000,1.5039,0.6650,0.9357
23,5XmNG2_1_FITC.tif,386.4553,2285.9956,225.0000,4266.0000,0.9044,2514.0000,1.2315,0.8120,0.9325
24,5XmNG2_1_FITC.tif,359.3357,1098.2689,35.0000,3322.0000,0.8440,774.0000,1.7743,0.5636,0.9217
25,5XmNG2_1_FITC.tif,262.7218,761.8710,40.0000,1422.0000,0.9674,782.0000,1.1027,0.9068,0.9309
26,5XmNG2_1_FITC.tif,230.5172,236.9044,49.0000,459.0000,0.8950,233.0000,1.2252,0.8162,0.9007
27,5XmNG2_1_FITC.tif,271.1967,275.6938,88.0000,482.0000,0.9386,282.0000,1.0732,0.9318,0.9249
28,5XmNG2_1_FITC.tif,371.2005,326.4749,15.0000,781.0000,0.7811,274.0000,2.0990,0.4764,0.9339
