 ,Label,Area,Mean,Min,Max,Circ.,Median,AR,Round,Solidity
1,5XmNG2_2.tif,90.6696,88.3411,31.0000,149.0000,0.8668,88.0000,1.4018,0.7134,0.9126
2,5XmNG2_2.tif,125.8359,268.1380,70.0000,475.0000,0.7948,277.0000,1.7101,0.5847,0.9224
3,5XmNG2_2.tif,100.4145,119.4515,20.0000,227.0000,0.8222,116.0000,1.4363,0.6962,0.8994
4,5XmNG2_2.tif,116.0910,261.8431,76.0000,458.0000,0.9399,264.0000,1.0793,0.9265,0.9432
5,5XmNG2_2.tif,132.1912,564.2788,162.0000,939.0000,0.9517,586.0000,1.0478,0.9544,0.9469
6,5XmNG2_2.tif,140.2413,165.3202,69.0000,289.0000,0.9103,168.0000,1.2038,0.8307,0.9390
7,5XmNG2_2.tif,92.3644,131.7844,61.0000,212.0000,0.7563,132.0000,1.6955,0.5898,0.8953
8,5XmNG2_2.tif,108.4646,1044.9336,153.0000,2618.0000,0.9470,912.0000,1.0870,0.9200,0.9499
9,5XmNG2_2.tif,136.0044,645.6199,183.0000,1029.0000,0.9209,671.0000,1.2735,0.7853,0.9511
10,5XmNG2_2.tif,138.1229,88.3252,36.0000,151.0000,0.9123,87.0000,1.2537,0.7976,0.9422
11,5XmNG2_2.tif,164.3916,573.7655,139.0000,927.0000,0.8347,589.0000,1.6337,0.6121,0.9395
12,5XmNG2_2.tif,104.2277,230.9350,51.0000,462.0000,0.9100,233.0000,1.3524,0.7394,0.9480
13,5XmNG2_2.tif,186.4235,386.7864,116.0000,759.0000,0.8206,379.0000,1.2300,0.8130,0.9129
14,5XmNG2_2.tif,95.3302,226.4622,77.0000,362.0000,0.8226,228.0000,1.7066,0.5860,0.9336
15,5XmNG2_2.tif,130.4964,197.1721,48.0000,334.0000,0.8619,198.0000,1.5262,0.6552,0.9347
16,5XmNG2_2.tif,116.0910,374.8686,99.0000,798.0000,0.9399,339.0000,1.1710,0.8540,0.9465
17,5XmNG2_2.tif,113.9725,327.3048,53.0000,515.0000,0.8487,348.0000,1.6239,0.6158,0.9357
18,5XmNG2_2.tif,102.1092,231.7884,36.0000,415.0000,0.8008,223.0000,1.3140,0.7610,0.8909
19,5XmNG2_2.tif,154.6468,886.3342,186.0000,1526.0000,0.8604,914.0000,1.4256,0.7014,0.9383
20,5XmNG2_2.tif,131.3438,233.0677,45.0000,519.0000,0.8379,228.0000,1.7166,0.5826,0.9337
21,5XmNG2_2.tif,158.4600,205.9278,59.0000,385.0000,0.9020,211.0000,1.2124,0.8248,0.9433
22,5XmNG2_2.tif,121.5990,243.1568,110.0000,388.0000,0.9124,245.0000,1.1254,0.8886,0.9488
23,5XmNG2_2.tif,115.6673,140.0147,53.0000,226.0000,0.8547,139.0000,1.4095,0.7095,0.9270
