 ,Label,Area,Mean,Min,Max,Circ.,Median,AR,Round,Solidity
1,5XmNG3A_2.tif,168.2048,567.5189,175.0000,769.0000,0.8255,597.0000,1.6435,0.6085,0.9352
2,5XmNG3A_2.tif,84.3143,6129.1859,1842.0000,11053.0000,0.8946,6284.0000,1.2554,0.7966,0.9409
3,5XmNG3A_2.tif,118.6331,3387.7643,780.0000,5609.0000,0.9171,3540.0000,1.2572,0.7954,0.9380
4,5XmNG3A_2.tif,213.9633,16716.8733,5833.0000,42614.0000,0.9156,16001.0000,1.1058,0.9044,0.9510
5,5XmNG3A_2.tif,137.6992,4257.9262,1012.0000,8403.0000,0.8636,3900.0000,1.3317,0.7509,0.9339
6,5XmNG3A_2.tif,110.5830,2146.9425,835.0000,3554.0000,0.8482,2113.0000,1.4905,0.6709,0.9239
7,5XmNG3A_2.tif,199.9816,19982.7436,3170.0000,63094.0000,0.8023,18959.0000,1.7331,0.5770,0.9219
8,5XmNG3A_2.tif,107.6172,410.0512,134.0000,784.0000,0.9060,398.0000,1.3710,0.7294,0.9355
9,5XmNG3A_2.tif,83.0432,396.4235,81.0000,839.0000,0.9428,353.0000,1.0783,0.9274,0.9267
10,5XmNG3A_2.tif,147.8677,5600.9599,1241.0000,9472.0000,0.8782,5728.0000,1.4430,0.6930,0.9369
11,5XmNG3A_2.tif,126.6832,1927.7926,384.0000,3710.0000,0.8282,1917.0000,1.6981,0.5889,0.9417
12,5XmNG3A_2.tif,128.8017,1969.4638,362.0000,3148.0000,0.8878,2091.0000,1.2334,0.8108,0.9397
13,5XmNG3A_2.tif,141.0887,4199.9129,792.0000,8435.0000,0.8437,3935.0000,1.6885,0.5922,0.9341
14,5XmNG3A_2.tif,113.1252,245.9663,126.0000,376.0000,0.8423,245.0000,1.7467,0.5725,0.9418
15,5XmNG3A_2.tif,138.5465,10457.9786,2002.0000,21513.0000,0.8993,10073.0000,1.2957,0.7718,0.9424
16,5XmNG3A_2.tif,87.7038,8180.6715,282.0000,23225.0000,0.9306,5892.0000,1.1866,0.8428,0.9474
17,5XmNG3A_2.tif,128.8017,7975.8651,2434.0000,16267.0000,0.8360,7304.0000,1.1118,0.8995,0.8928
18,5XmNG3A_2.tif,142.3597,1264.3304,278.0000,2118.0000,0.9018,1264.0000,1.1045,0.9054,0.9295
19,5XmNG3A_2.tif,98.7197,771.3305,267.0000,1166.0000,0.9356,798.0000,1.2076,0.8281,0.9414
20,5XmNG3A_2.tif,92.7881,6851.7443,1295.0000,14134.0000,0.8613,6628.0000,1.1665,0.8573,0.9221
21,5XmNG3A_2.tif,94.9065,2215.2054,664.0000,3387.0000,0.8150,2251.0000,1.7424,0.5739,0.9199
22,5XmNG3A_2.tif,164.3916,8269.8376,2566.0000,16004.0000,0.9208,7632.0000,1.0689,0.9355,0.9475
23,5XmNG3A_2.tif,111.4304,788.5095,245.0000,1210.0000,0.9124,813.0000,1.3800,0.7246,0.9359
24,5XmNG3A_2.tif,136.4281,17819.6677,2518.0000,34390.0000,0.9238,18044.0000,1.0798,0.9261,0.9401
25,5XmNG3A_2.tif,91.5170,447.8148,127.0000,672.0000,0.8568,458.0000,1.7882,0.5592,0.9453
26,5XmNG3A_2.tif,99.1434,4145.1923,468.0000,10880.0000,0.9396,3245.0000,1.1624,0.8603,0.9379
27,5XmNG3A_2.tif,111.8541,2033.9848,530.0000,3813.0000,0.9605,1969.0000,1.1448,0.8735,0.9479
28,5XmNG3A_2.tif,199.5579,1331.9554,400.0000,2242.0000,0.8785,1414.0000,1.5065,0.6638,0.9496
29,5XmNG3A_2.tif,95.3302,6272.0800,1230.0000,13059.0000,0.8254,5949.0000,1.6345,0.6118,0.9091
30,5XmNG3A_2.tif,159.3073,1016.9282,385.0000,1506.0000,0.8923,1071.0000,1.5663,0.6385,0.9567
