 ,Label,Area,Mean,Min,Max,Circ.,Median,AR,Round,Solidity
1,5XmNG3K_2_FITC.tif,161.0231,1485.3158,412.0000,2310.0000,0.9956,1560.0000,1.2058,0.8293,0.9268
2,5XmNG3K_2_FITC.tif,181.3628,408.9626,73.0000,698.0000,0.9584,425.0000,1.4451,0.6920,0.9224
3,5XmNG3K_2_FITC.tif,250.8570,707.3716,107.0000,1371.0000,0.9740,755.0000,1.1108,0.9003,0.9308
4,5XmNG3K_2_FITC.tif,313.5712,354.8000,77.0000,636.0000,0.7654,308.0000,1.7713,0.5646,0.8768
5,5XmNG3K_2_FITC.tif,161.0231,492.4526,118.0000,993.0000,0.8899,446.0000,1.5074,0.6634,0.9091
6,5XmNG3K_2_FITC.tif,247.4670,707.9110,88.0000,1407.0000,0.8352,638.0000,1.3807,0.7243,0.8957
7,5XmNG3K_2_FITC.tif,200.0076,223.2627,64.0000,391.0000,0.9938,234.0000,1.0893,0.9180,0.9402
8,5XmNG3K_2_FITC.tif,177.9729,610.2381,274.0000,857.0000,0.9405,634.0000,1.3805,0.7244,0.9130
9,5XmNG3K_2_FITC.tif,413.5750,4353.2623,173.0000,12613.0000,0.6595,3635.0000,1.7212,0.5810,0.8399
10,5XmNG3K_2_FITC.tif,523.7487,6991.9773,250.0000,21157.0000,0.8153,4852.0000,1.4947,0.6690,0.8905
11,5XmNG3K_2_FITC.tif,345.7758,1430.5588,75.0000,2926.0000,0.9291,1653.0000,1.3150,0.7604,0.9315
12,5XmNG3K_2_FITC.tif,186.4478,669.1364,163.0000,1193.0000,0.9264,709.0000,1.1869,0.8425,0.9167
13,5XmNG3K_2_FITC.tif,130.5134,646.9870,283.0000,888.0000,0.9717,656.0000,1.1464,0.8723,0.9390
14,5XmNG3K_2_FITC.tif,357.6407,1636.5213,92.0000,4044.0000,0.8839,1477.0000,1.4539,0.6878,0.9194
15,5XmNG3K_2_FITC.tif,230.5172,999.1838,108.0000,2014.0000,0.9669,1078.0000,1.0480,0.9542,0.9379
16,5XmNG3K_2_FITC.tif,111.8687,821.1061,245.0000,1373.0000,0.9882,814.0000,1.2682,0.7885,0.9296
17,5XmNG3K_2_FITC.tif,547.4784,919.4241,66.0000,1886.0000,0.6423,848.0000,1.5159,0.6597,0.8411
18,5XmNG3K_2_FITC.tif,313.5712,8206.0865,242.0000,26191.0000,0.9412,5676.0000,1.1378,0.8789,0.9296
19,5XmNG3K_2_FITC.tif,367.8106,2450.5668,147.0000,6407.0000,0.8822,1850.0000,1.6091,0.6214,0.9234
20,5XmNG3K_2_FITC.tif,122.0385,904.8333,541.0000,1171.0000,1.0000,929.0000,1.1280,0.8866,0.9231
21,5XmNG3K_2_FITC.tif,211.8724,394.3360,94.0000,764.0000,0.9404,395.0000,1.2750,0.7843,0.9259
22,5XmNG3K_2_FITC.tif,184.7528,2190.8807,128.0000,9270.0000,0.9891,1071.0000,1.1329,0.8827,0.9397
23,5XmNG3K_2_FITC.tif,128.8184,1132.2895,66.0000,1968.0000,0.9803,1174.0000,1.2232,0.8175,0.9048
24,5XmNG3K_2_FITC.tif,532.2236,1363.6783,175.0000,2419.0000,0.7772,1417.0000,1.6270,0.6146,0.8920
25,5XmNG3K_2_FITC.tif,313.5712,7073.4811,222.0000,18552.0000,0.9194,5568.0000,1.4150,0.7067,0.9439
26,5XmNG3K_2_FITC.tif,277.9767,941.7561,36.0000,2060.0000,0.9479,971.0000,1.1577,0.8638,0.9452
27,5XmNG3K_2_FITC.tif,289.8415,1505.4854,80.0000,3813.0000,0.9217,1148.0000,1.3115,0.7625,0.9319
28,5XmNG3K_2_FITC.tif,113.5636,371.6418,149.0000,553.0000,0.8976,378.0000,1.4541,0.6877,0.8758
29,5XmNG3K_2_FITC.tif,276.2817,2720.8773,90.0000,8118.0000,0.9562,1842.0000,1.2656,0.7902,0.9395
30,5XmNG3K_2_FITC.tif,249.1620,1388.9660,64.0000,4472.0000,0.8940,971.0000,1.4848,0.6735,0.9274
31,5XmNG3K_2_FITC.tif,172.8879,1068.7451,76.0000,3705.0000,0.9682,679.0000,1.2085,0.8275,0.9444
32,5XmNG3K_2_FITC.tif,271.1967,4015.6250,291.0000,10858.0000,0.9628,3016.0000,1.1058,0.9043,0.9275
33,5XmNG3K_2_FITC.tif,323.7411,2365.7958,413.0000,3943.0000,0.7384,2510.0000,1.9516,0.5124,0.8584
34,5XmNG3K_2_FITC.tif,255.9419,1701.3444,272.0000,2862.0000,0.8951,1939.0000,1.1792,0.8481,0.9207
35,5XmNG3K_2_FITC.tif,222.0423,1144.3282,194.0000,3400.0000,0.9468,813.0000,1.2140,0.8237,0.9129
36,5XmNG3K_2_FITC.tif,152.5482,423.4222,28.0000,1260.0000,0.9301,318.0000,1.1666,0.8572,0.8824
37,5XmNG3K_2_FITC.tif,242.3821,1991.1818,134.0000,4458.0000,0.8477,1852.0000,1.6402,0.6097,0.9439
38,5XmNG3K_2_FITC.tif,147.4632,744.6437,223.0000,1126.0000,0.9570,759.0000,1.2628,0.7919,0.9305
39,5XmNG3K_2_FITC.tif,245.7720,6045.6000,786.0000,10225.0000,0.8953,6663.0000,1.3454,0.7433,0.9091
40,5XmNG3K_2_FITC.tif,252.5520,451.2282,56.0000,895.0000,0.9548,472.0000,1.2231,0.8176,0.9283
