 ,Label,Area,Mean,Min,Max,Circ.,Median,AR,Round,Solidity
1,5XmNG3K_2.tif,84.7379,179.8600,91.0000,238.0000,0.7866,185.0000,1.8656,0.5360,0.8949
2,5XmNG3K_2.tif,128.3780,387.7261,105.0000,615.0000,0.8479,396.0000,1.6479,0.6068,0.9366
3,5XmNG3K_2.tif,147.0203,3567.5620,638.0000,6603.0000,0.8392,3916.0000,1.7738,0.5638,0.9353
4,5XmNG3K_2.tif,155.4941,348.9646,109.0000,640.0000,0.8709,335.0000,1.4711,0.6797,0.9256
5,5XmNG3K_2.tif,101.2618,2629.7029,997.0000,3621.0000,0.8768,2737.0000,1.3872,0.7209,0.9228
6,5XmNG3K_2.tif,139.3939,1427.0030,306.0000,2407.0000,0.9274,1472.0000,1.2552,0.7967,0.9495
7,5XmNG3K_2.tif,147.8677,2696.2579,819.0000,4810.0000,0.8782,2678.0000,1.5586,0.6416,0.9382
8,5XmNG3K_2.tif,156.3415,1148.7317,306.0000,1789.0000,0.8840,1189.0000,1.4549,0.6873,0.9425
9,5XmNG3K_2.tif,94.9065,1455.0045,507.0000,2332.0000,0.9468,1495.0000,1.2835,0.7791,0.9451
10,5XmNG3K_2.tif,96.6013,675.7632,302.0000,918.0000,0.9433,686.0000,1.0812,0.9249,0.9441
11,5XmNG3K_2.tif,86.4327,499.7794,162.0000,733.0000,0.9378,508.0000,1.3421,0.7451,0.9488
12,5XmNG3K_2.tif,136.0044,1937.1090,271.0000,4382.0000,0.8765,2023.0000,1.5585,0.6416,0.9345
13,5XmNG3K_2.tif,144.4782,4395.9560,953.0000,7874.0000,0.9378,4751.0000,1.2315,0.8120,0.9499
14,5XmNG3K_2.tif,186.4235,3384.8727,511.0000,6289.0000,0.7821,3339.0000,1.8302,0.5464,0.9342
15,5XmNG3K_2.tif,157.1889,583.8032,100.0000,958.0000,0.8033,607.0000,1.8752,0.5333,0.9263
16,5XmNG3K_2.tif,121.5990,1147.1429,524.0000,2340.0000,0.7758,1034.0000,1.7070,0.5858,0.8844
17,5XmNG3K_2.tif,99.5671,851.1489,317.0000,1249.0000,0.9163,899.0000,1.2313,0.8122,0.9252
18,5XmNG3K_2.tif,97.8723,934.5801,167.0000,2074.0000,0.9085,957.0000,1.2315,0.8120,0.9333
19,5XmNG3K_2.tif,91.5170,455.0833,173.0000,691.0000,0.7350,458.0000,2.0268,0.4934,0.8834
20,5XmNG3K_2.tif,100.8382,106.5126,71.0000,160.0000,0.7857,108.0000,1.9314,0.5177,0.9315
21,5XmNG3K_2.tif,106.3461,209.8247,64.0000,377.0000,0.9132,207.0000,1.2835,0.7791,0.9348
22,5XmNG3K_2.tif,80.5010,611.9526,247.0000,827.0000,0.9103,625.0000,1.2902,0.7751,0.9524
23,5XmNG3K_2.tif,220.3187,742.1827,250.0000,1365.0000,0.7706,751.0000,1.6015,0.6244,0.8966
24,5XmNG3K_2.tif,117.7857,404.8453,81.0000,801.0000,0.8703,411.0000,1.4698,0.6804,0.9360
25,5XmNG3K_2.tif,158.8836,6474.6853,1433.0000,10654.0000,0.8984,6992.0000,1.0138,0.9864,0.9410
26,5XmNG3K_2.tif,99.1434,456.7094,191.0000,631.0000,0.9015,469.0000,1.3717,0.7290,0.9379
27,5XmNG3K_2.tif,145.7493,341.9797,103.0000,580.0000,0.7536,343.0000,2.0175,0.4957,0.8970
28,5XmNG3K_2.tif,119.4805,1648.0177,342.0000,3742.0000,0.9236,1536.0000,1.2370,0.8084,0.9495
29,5XmNG3K_2.tif,147.8677,860.1175,263.0000,1247.0000,0.8119,929.0000,1.9322,0.5175,0.9319
30,5XmNG3K_2.tif,143.6308,1900.8171,412.0000,3065.0000,0.9486,1981.0000,1.0845,0.9220,0.9469
31,5XmNG3K_2.tif,88.9748,2827.5238,1030.0000,4262.0000,0.8188,2946.0000,1.2739,0.7850,0.9032
32,5XmNG3K_2.tif,207.6080,396.3367,126.0000,630.0000,0.9326,402.0000,1.1600,0.8621,0.9561
33,5XmNG3K_2.tif,172.4417,1440.4963,256.0000,2527.0000,0.7276,1478.0000,1.2710,0.7868,0.9034
34,5XmNG3K_2.tif,154.2231,1640.1044,372.0000,2484.0000,0.9071,1718.0000,1.1953,0.8366,0.9381
35,5XmNG3K_2.tif,83.0432,303.6122,158.0000,403.0000,0.8927,319.0000,1.1733,0.8523,0.9138
36,5XmNG3K_2.tif,169.0522,871.1504,202.0000,1203.0000,0.7818,914.0000,2.0059,0.4985,0.9399
37,5XmNG3K_2.tif,92.3644,318.6927,126.0000,435.0000,0.9415,345.0000,1.4227,0.7029,0.9478
38,5XmNG3K_2.tif,149.9862,449.3475,177.0000,656.0000,0.7834,455.0000,1.7563,0.5694,0.9377
39,5XmNG3K_2.tif,110.5830,679.6322,112.0000,1107.0000,0.9055,704.0000,1.3619,0.7342,0.9372
40,5XmNG3K_2.tif,82.6195,366.4769,111.0000,567.0000,0.9291,376.0000,1.2490,0.8007,0.9220
41,5XmNG3K_2.tif,147.0203,8065.4035,1019.0000,19239.0000,0.9156,7185.0000,1.3447,0.7437,0.9442
42,5XmNG3K_2.tif,122.0226,1055.1667,208.0000,1895.0000,0.9359,1120.0000,1.2500,0.8000,0.9443
43,5XmNG3K_2.tif,80.9247,880.9058,82.0000,3706.0000,0.9402,543.0000,1.2277,0.8145,0.9363
44,5XmNG3K_2.tif,126.2595,225.3557,105.0000,326.0000,0.9090,237.0000,1.3535,0.7389,0.9460
45,5XmNG3K_2.tif,98.7197,1657.7124,425.0000,3545.0000,0.8216,1424.0000,1.4563,0.6867,0.9339
46,5XmNG3K_2.tif,141.0887,3057.1321,597.0000,6233.0000,0.9065,2873.0000,1.2273,0.8148,0.9528
47,5XmNG3K_2.tif,147.8677,1479.0287,708.0000,2640.0000,0.7824,1181.0000,1.7593,0.5684,0.9369
48,5XmNG3K_2.tif,82.6195,847.4154,121.0000,1392.0000,0.7361,875.0000,2.0276,0.4932,0.8824
49,5XmNG3K_2.tif,157.6126,1292.4758,272.0000,2268.0000,0.8972,1371.0000,1.4014,0.7136,0.9538
50,5XmNG3K_2.tif,126.6832,421.0468,100.0000,611.0000,0.8732,451.0000,1.4834,0.6741,0.9344
51,5XmNG3K_2.tif,105.0751,464.3145,100.0000,893.0000,0.8919,437.0000,1.5276,0.6546,0.9484
52,5XmNG3K_2.tif,147.8677,2691.4871,332.0000,5141.0000,0.8991,2819.0000,1.3564,0.7372,0.9407
53,5XmNG3K_2.tif,155.9178,1800.6277,604.0000,2924.0000,0.8900,1855.0000,1.2858,0.7777,0.9376
54,5XmNG3K_2.tif,133.8860,802.1171,143.0000,1142.0000,0.9160,861.0000,1.1375,0.8791,0.9349
55,5XmNG3K_2.tif,101.2618,107.0837,65.0000,146.0000,0.6688,106.0000,2.2556,0.4433,0.8475
56,5XmNG3K_2.tif,107.1935,891.8340,374.0000,1558.0000,0.8313,880.0000,1.4336,0.6976,0.9068
57,5XmNG3K_2.tif,239.8084,2753.5724,635.0000,4648.0000,0.8154,2821.0000,1.7093,0.5850,0.9271
58,5XmNG3K_2.tif,142.7834,564.1573,86.0000,1058.0000,0.8955,590.0000,1.3317,0.7509,0.9413
59,5XmNG3K_2.tif,177.1023,3882.5837,719.0000,7009.0000,0.8913,4167.0000,1.3617,0.7344,0.9468
60,5XmNG3K_2.tif,92.7881,891.8858,128.0000,1776.0000,0.9458,872.0000,1.1330,0.8826,0.9339
61,5XmNG3K_2.tif,117.3621,1219.9675,455.0000,2003.0000,0.7751,1249.0000,1.6203,0.6172,0.8864
62,5XmNG3K_2.tif,172.8654,1435.4926,569.0000,3116.0000,0.6542,1291.0000,2.6088,0.3833,0.9231
63,5XmNG3K_2.tif,183.0340,2260.0463,544.0000,4250.0000,0.7013,2247.0000,2.2182,0.4508,0.8926
64,5XmNG3K_2.tif,111.8541,395.2576,145.0000,698.0000,0.8743,387.0000,1.4950,0.6689,0.9279
65,5XmNG3K_2.tif,80.9247,617.1675,50.0000,1602.0000,0.9187,523.0000,1.1970,0.8354,0.9227
