 ,Label,Area,Mean,Min,Max,Circ.,Median,AR,Round,Solidity
1,mNG2_1_FITC.tif,220.3473,293.6231,134.0000,480.0000,0.9137,286.0000,1.3019,0.7681,0.9123
2,mNG2_1_FITC.tif,318.6562,199.6223,82.0000,332.0000,0.9043,191.0000,1.2356,0.8093,0.9284
3,mNG2_1_FITC.tif,432.2198,287.4039,94.0000,666.0000,0.7983,258.0000,1.6106,0.6209,0.8885
4,mNG2_1_FITC.tif,223.7373,176.3258,56.0000,367.0000,0.9652,164.0000,1.0957,0.9127,0.9296
5,mNG2_1_FITC.tif,611.8876,1819.3435,503.0000,3238.0000,0.9300,1771.0000,1.0583,0.9449,0.9389
6,mNG2_1_FITC.tif,337.3009,175.9749,59.0000,389.0000,0.9064,173.0000,1.3949,0.7169,0.9343
7,mNG2_1_FITC.tif,281.3666,390.2108,85.0000,766.0000,0.8648,388.0000,1.2208,0.8191,0.9046
8,mNG2_1_FITC.tif,138.9883,114.8902,67.0000,208.0000,1.0000,111.0000,1.0934,0.9146,0.9213
9,mNG2_1_FITC.tif,250.8570,350.5405,95.0000,619.0000,0.9196,332.0000,1.0199,0.9805,0.9548
10,mNG2_1_FITC.tif,405.1001,1603.1925,307.0000,3210.0000,0.9681,1456.0000,1.1940,0.8375,0.9579
11,mNG2_1_FITC.tif,366.1156,627.5648,92.0000,1722.0000,0.9622,519.0000,1.0883,0.9189,0.9412
12,mNG2_1_FITC.tif,91.5289,144.4444,101.0000,207.0000,0.8936,142.0000,1.3728,0.7285,0.8926
13,mNG2_1_FITC.tif,398.3202,1505.4851,323.0000,3388.0000,0.9519,1258.0000,1.1875,0.8421,0.9495
14,mNG2_1_FITC.tif,493.2391,788.7732,165.0000,2202.0000,0.7922,560.0000,1.2754,0.7841,0.9037
15,mNG2_1_FITC.tif,84.7490,212.5000,122.0000,297.0000,1.0000,227.0000,1.3176,0.7590,0.9259
16,mNG2_1_FITC.tif,722.0613,1497.9507,349.0000,2908.0000,0.8449,1439.0000,1.5365,0.6508,0.9435
17,mNG2_1_FITC.tif,89.8339,159.1321,40.0000,246.0000,0.8618,173.0000,1.6072,0.6222,0.8548
