 ,Label,Area,Mean,Min,Max,Circ.,Median,AR,Round,Solidity
1,mNG3A_2.tif,218.6239,1552.8062,384.0000,3413.0000,0.6628,1526.0000,2.1316,0.4691,0.8783
2,mNG3A_2.tif,111.8541,473.0530,158.0000,785.0000,0.9417,485.0000,1.1901,0.8403,0.9412
3,mNG3A_2.tif,130.9201,282.2492,80.0000,534.0000,0.9091,284.0000,1.3852,0.7219,0.9508
4,mNG3A_2.tif,88.9748,617.6714,238.0000,1177.0000,0.9355,568.0000,1.3716,0.7291,0.9417
5,mNG3A_2.tif,149.9862,1128.1299,341.0000,1689.0000,0.7685,1180.0000,2.0265,0.4935,0.9255
6,mNG3A_2.tif,170.3233,346.4303,71.0000,537.0000,0.8286,358.0000,1.8268,0.5474,0.9459
7,mNG3A_2.tif,102.5329,698.0289,261.0000,1119.0000,0.9135,699.0000,1.3283,0.7528,0.9380
8,mNG3A_2.tif,89.8222,1686.8160,506.0000,2998.0000,0.8960,1694.0000,1.0707,0.9340,0.9217
9,mNG3A_2.tif,192.7788,396.3077,127.0000,655.0000,0.9103,402.0000,1.2199,0.8198,0.9411
10,mNG3A_2.tif,113.5488,428.2910,122.0000,738.0000,0.7001,441.0000,2.1751,0.4597,0.8687
11,mNG3A_2.tif,130.4964,325.5292,102.0000,492.0000,0.8325,328.0000,1.4633,0.6834,0.9235
12,mNG3A_2.tif,98.7197,216.0000,75.0000,410.0000,0.8057,216.0000,1.8075,0.5532,0.9339
13,mNG3A_2.tif,129.6491,461.3627,141.0000,847.0000,0.9166,440.0000,1.2565,0.7958,0.9444
14,mNG3A_2.tif,106.7698,394.3532,122.0000,665.0000,0.8989,404.0000,1.2596,0.7939,0.9351
15,mNG3A_2.tif,95.3302,174.6889,39.0000,286.0000,0.9035,176.0000,1.4050,0.7117,0.9317
16,mNG3A_2.tif,107.6172,318.3031,189.0000,443.0000,0.9134,321.0000,1.2273,0.8148,0.9338
17,mNG3A_2.tif,102.5329,125.1198,73.0000,185.0000,0.9167,126.0000,1.3138,0.7612,0.9362
18,mNG3A_2.tif,92.3644,119.2248,58.0000,210.0000,0.8830,117.0000,1.1733,0.8523,0.9417
19,mNG3A_2.tif,124.1411,690.9113,226.0000,1216.0000,0.9173,672.0000,1.2367,0.8086,0.9436
20,mNG3A_2.tif,138.5465,2546.5413,552.0000,5958.0000,0.9058,2328.0000,1.2089,0.8272,0.9437
21,mNG3A_2.tif,97.4486,357.1870,92.0000,668.0000,0.8968,371.0000,1.3181,0.7587,0.9237
22,mNG3A_2.tif,104.6514,480.8785,125.0000,872.0000,0.9356,476.0000,1.1984,0.8345,0.9392
23,mNG3A_2.tif,127.5306,334.7110,48.0000,609.0000,0.8922,351.0000,1.4682,0.6811,0.9436
24,mNG3A_2.tif,149.9862,271.6695,84.0000,454.0000,0.7568,270.0000,2.0074,0.4982,0.9124
25,mNG3A_2.tif,88.1275,369.8125,141.0000,598.0000,0.9387,372.0000,1.1268,0.8875,0.9348
26,mNG3A_2.tif,105.4987,387.4900,165.0000,676.0000,0.9135,374.0000,1.3014,0.7684,0.9450
27,mNG3A_2.tif,105.4987,193.9839,61.0000,322.0000,0.8709,193.0000,1.5509,0.6448,0.9343
28,mNG3A_2.tif,143.2071,321.6923,112.0000,559.0000,0.7207,331.0000,2.2594,0.4426,0.9337
29,mNG3A_2.tif,163.5442,1064.9896,266.0000,1653.0000,0.9247,1118.0000,1.1691,0.8554,0.9472
30,mNG3A_2.tif,86.8564,127.2537,43.0000,207.0000,0.8556,127.0000,1.5818,0.6322,0.9361
31,mNG3A_2.tif,101.6855,287.2375,94.0000,556.0000,0.8909,282.0000,1.3640,0.7331,0.9284
32,mNG3A_2.tif,88.5512,553.8038,236.0000,972.0000,0.8466,521.0000,1.2454,0.8029,0.9310
33,mNG3A_2.tif,121.1753,583.6434,126.0000,1111.0000,0.7708,595.0000,1.1673,0.8567,0.8800
34,mNG3A_2.tif,140.2413,337.2810,101.0000,537.0000,0.8503,353.0000,1.6674,0.5997,0.9484
35,mNG3A_2.tif,179.6444,551.0755,133.0000,868.0000,0.8663,563.0000,1.1796,0.8477,0.9339
36,mNG3A_2.tif,142.3597,338.9524,105.0000,609.0000,0.9240,338.0000,1.1788,0.8483,0.9505
37,mNG3A_2.tif,129.2254,513.7475,106.0000,968.0000,0.8973,545.0000,1.4153,0.7065,0.9428
38,mNG3A_2.tif,105.0751,2790.3871,313.0000,5021.0000,0.9251,2813.0000,1.0792,0.9266,0.9520
39,mNG3A_2.tif,136.8518,743.8266,186.0000,1330.0000,0.7564,760.0000,1.9481,0.5133,0.9035
40,mNG3A_2.tif,229.2161,404.7431,172.0000,709.0000,0.6317,400.0000,1.7238,0.5801,0.8381
41,mNG3A_2.tif,132.1912,329.1571,132.0000,492.0000,0.9416,338.0000,1.0641,0.9398,0.9571
42,mNG3A_2.tif,116.9384,299.9674,80.0000,527.0000,0.8304,295.0000,1.5239,0.6562,0.9372
43,mNG3A_2.tif,155.9178,567.9783,182.0000,1024.0000,0.8816,573.0000,1.3979,0.7154,0.9412
44,mNG3A_2.tif,117.7857,600.3489,170.0000,964.0000,0.9207,623.0000,1.2400,0.8064,0.9345
45,mNG3A_2.tif,118.2094,306.3262,37.0000,633.0000,0.8802,313.0000,1.3992,0.7147,0.9394
46,mNG3A_2.tif,136.8518,1750.5666,452.0000,3735.0000,0.9132,1680.0000,1.1796,0.8477,0.9295
47,mNG3A_2.tif,155.9178,672.9049,234.0000,1195.0000,0.7407,644.0000,1.4549,0.6873,0.8825
48,mNG3A_2.tif,87.2801,294.2718,78.0000,506.0000,0.8344,294.0000,1.1810,0.8468,0.9135
49,mNG3A_2.tif,174.1365,338.0389,161.0000,478.0000,0.8786,347.0000,1.4019,0.7133,0.9448
50,mNG3A_2.tif,87.2801,193.2913,60.0000,330.0000,0.9177,187.0000,1.2113,0.8255,0.9364
51,mNG3A_2.tif,104.2277,231.4146,90.0000,417.0000,0.8371,228.0000,1.7359,0.5761,0.9248
52,mNG3A_2.tif,142.7834,1258.3234,414.0000,1941.0000,0.8456,1302.0000,1.6286,0.6140,0.9335
53,mNG3A_2.tif,155.4941,396.7629,143.0000,1272.0000,0.6748,332.0000,2.3271,0.4297,0.8833
54,mNG3A_2.tif,155.4941,571.1608,133.0000,1022.0000,0.8675,585.0000,1.2530,0.7981,0.9233
55,mNG3A_2.tif,136.4281,2611.6708,448.0000,6183.0000,0.6823,2329.0000,2.0270,0.4933,0.8656
56,mNG3A_2.tif,133.0386,172.1783,70.0000,296.0000,0.7402,176.0000,1.9439,0.5144,0.8920
57,mNG3A_2.tif,144.9019,171.0468,52.0000,283.0000,0.8116,169.0000,1.7881,0.5592,0.9383
58,mNG3A_2.tif,150.8335,1864.7865,357.0000,3018.0000,0.7807,1980.0000,1.8208,0.5492,0.9211
59,mNG3A_2.tif,126.6832,635.2241,161.0000,1050.0000,0.8367,687.0000,1.4814,0.6751,0.9257
60,mNG3A_2.tif,80.0774,362.3439,121.0000,523.0000,0.8688,378.0000,1.6282,0.6142,0.9380
61,mNG3A_2.tif,151.2572,427.0700,140.0000,785.0000,0.8610,434.0000,1.4975,0.6678,0.9432
62,mNG3A_2.tif,129.2254,270.4918,140.0000,427.0000,0.8841,268.0000,1.5024,0.6656,0.9370
63,mNG3A_2.tif,137.2755,241.7747,68.0000,415.0000,0.8975,244.0000,1.2124,0.8248,0.9405
