 ,Label,Area,Mean,Min,Max,Circ.,Median,AR,Round,Solidity
1,mNG3K_1_FITC.tif,328.8260,407.8711,68.0000,827.0000,0.8026,423.0000,1.6860,0.5931,0.8899
2,mNG3K_1_FITC.tif,242.3821,806.5455,79.0000,1423.0000,0.9516,899.0000,1.1091,0.9016,0.9256
3,mNG3K_1_FITC.tif,161.0231,155.6737,47.0000,247.0000,0.9628,162.0000,1.2201,0.8196,0.9268
4,mNG3K_1_FITC.tif,237.2971,1137.2357,101.0000,2460.0000,0.9316,1104.0000,1.1419,0.8757,0.9241
5,mNG3K_1_FITC.tif,144.0733,210.4000,79.0000,320.0000,0.9217,219.0000,1.0943,0.9138,0.8901
6,mNG3K_1_FITC.tif,89.8339,242.6792,176.0000,325.0000,1.0000,242.0000,1.2205,0.8193,0.9138
7,mNG3K_1_FITC.tif,93.2239,535.0545,110.0000,792.0000,0.9502,608.0000,1.1787,0.8484,0.9016
8,mNG3K_1_FITC.tif,108.4787,348.1094,189.0000,586.0000,0.9814,317.0000,1.1179,0.8945,0.8889
9,mNG3K_1_FITC.tif,108.4787,198.0938,133.0000,245.0000,0.9582,199.0000,1.3392,0.7467,0.9209
10,mNG3K_1_FITC.tif,166.1080,885.9694,106.0000,2043.0000,0.9428,907.0000,1.1676,0.8564,0.9608
11,mNG3K_1_FITC.tif,323.7411,1103.8220,108.0000,2276.0000,0.7873,919.0000,1.2837,0.7790,0.9249
12,mNG3K_1_FITC.tif,230.5172,686.1397,56.0000,1432.0000,0.9944,634.0000,1.0741,0.9310,0.9412
13,mNG3K_1_FITC.tif,247.4670,367.9726,58.0000,623.0000,0.9212,410.0000,1.1966,0.8357,0.9270
14,mNG3K_1_FITC.tif,354.2507,1995.0813,110.0000,4062.0000,0.8220,2091.0000,1.5955,0.6268,0.9147
15,mNG3K_1_FITC.tif,216.9574,1450.8125,61.0000,3015.0000,0.8752,1456.0000,1.1267,0.8876,0.8982
16,mNG3K_1_FITC.tif,179.6678,273.4057,100.0000,376.0000,0.9929,290.0000,1.3354,0.7489,0.9422
17,mNG3K_1_FITC.tif,320.3511,641.0952,43.0000,1511.0000,0.8886,635.0000,1.0528,0.9498,0.9175
18,mNG3K_1_FITC.tif,169.4980,450.5800,111.0000,653.0000,0.9674,475.0000,1.1297,0.8852,0.9132
19,mNG3K_1_FITC.tif,422.0499,1299.7149,67.0000,3136.0000,0.7916,1198.0000,1.9119,0.5230,0.9104
20,mNG3K_1_FITC.tif,164.4130,452.2268,73.0000,993.0000,0.9384,426.0000,1.2466,0.8022,0.9065
21,mNG3K_1_FITC.tif,218.6524,290.8760,65.0000,623.0000,0.7762,255.0000,1.4572,0.6862,0.8716
22,mNG3K_1_FITC.tif,103.3938,673.0656,146.0000,968.0000,0.9748,730.0000,1.3422,0.7450,0.8971
23,mNG3K_1_FITC.tif,274.5867,192.9321,36.0000,359.0000,0.9503,199.0000,1.2689,0.7881,0.9391
24,mNG3K_1_FITC.tif,454.2545,2876.3731,169.0000,7846.0000,0.7554,2613.0000,1.9327,0.5174,0.8860
25,mNG3K_1_FITC.tif,245.7720,140.9862,44.0000,224.0000,0.9291,142.0000,1.1063,0.9039,0.9119
26,mNG3K_1_FITC.tif,228.8222,325.4519,0.0000,1053.0000,0.9127,195.0000,1.1333,0.8824,0.9060
