 ,Label,Area,Mean,Min,Max,Circ.,Median,AR,Round,Solidity
1,mNG3K_1.tif,107.6172,649.8583,248.0000,1052.0000,0.9241,651.0000,1.2276,0.8146,0.9321
2,mNG3K_1.tif,123.7174,435.2055,139.0000,957.0000,0.8377,398.0000,1.7960,0.5568,0.9435
3,mNG3K_1.tif,144.4782,360.1466,110.0000,639.0000,0.8640,360.0000,1.2598,0.7938,0.9292
4,mNG3K_1.tif,173.7128,755.1439,171.0000,1303.0000,0.8132,772.0000,1.3007,0.7688,0.9051
5,mNG3K_1.tif,198.2868,1080.1068,336.0000,1919.0000,0.8908,1082.0000,1.0489,0.9534,0.9388
6,mNG3K_1.tif,118.2094,374.5627,90.0000,608.0000,0.8575,386.0000,1.4458,0.6916,0.9347
7,mNG3K_1.tif,123.7174,420.3185,121.0000,783.0000,0.8030,436.0000,1.4214,0.7035,0.8985
8,mNG3K_1.tif,125.4122,1430.9189,267.0000,3374.0000,0.8058,1315.0000,1.8738,0.5337,0.9323
9,mNG3K_1.tif,134.7333,273.8050,80.0000,540.0000,0.9356,263.0000,1.0865,0.9204,0.9478
10,mNG3K_1.tif,101.2618,114.6234,32.0000,178.0000,0.8768,117.0000,1.4875,0.6723,0.9354
11,mNG3K_1.tif,189.3893,210.9754,60.0000,357.0000,0.9329,217.0000,1.2178,0.8212,0.9603
12,mNG3K_1.tif,82.6195,239.1795,91.0000,377.0000,0.8964,240.0000,1.3693,0.7303,0.9308
13,mNG3K_1.tif,159.3073,643.0612,144.0000,1428.0000,0.8747,634.0000,1.4814,0.6751,0.9365
14,mNG3K_1.tif,97.0249,429.8472,103.0000,854.0000,0.9310,419.0000,1.1478,0.8712,0.9271
15,mNG3K_1.tif,88.5512,112.2632,52.0000,178.0000,0.9026,114.0000,1.2058,0.8293,0.9227
16,mNG3K_1.tif,222.0134,2021.7385,506.0000,4576.0000,0.8534,2011.0000,1.3177,0.7589,0.9307
17,mNG3K_1.tif,138.5465,308.9358,86.0000,504.0000,0.8714,314.0000,1.4350,0.6968,0.9343
18,mNG3K_1.tif,93.2117,97.6682,32.0000,170.0000,0.9022,98.0000,1.2974,0.7708,0.9244
19,mNG3K_1.tif,113.5488,1019.7015,207.0000,1690.0000,0.9559,1057.0000,1.1958,0.8363,0.9487
20,mNG3K_1.tif,161.0021,908.3316,334.0000,1549.0000,0.8487,894.0000,1.5599,0.6411,0.9325
21,mNG3K_1.tif,152.5283,528.9917,129.0000,791.0000,0.8971,573.0000,1.2823,0.7798,0.9412
22,mNG3K_1.tif,81.3484,319.8073,134.0000,480.0000,0.9027,330.0000,1.3340,0.7496,0.9298
23,mNG3K_1.tif,152.5283,530.2028,163.0000,893.0000,0.9033,550.0000,1.2583,0.7947,0.9461
24,mNG3K_1.tif,113.1252,460.6067,110.0000,772.0000,0.9263,479.0000,1.0623,0.9413,0.9336
25,mNG3K_1.tif,119.0568,176.1032,61.0000,342.0000,0.9032,177.0000,1.2978,0.7705,0.9414
26,mNG3K_1.tif,109.7356,255.7799,108.0000,489.0000,0.8646,255.0000,1.5754,0.6348,0.9367
27,mNG3K_1.tif,117.3621,717.0361,377.0000,986.0000,0.9002,729.0000,1.1758,0.8505,0.9327
28,mNG3K_1.tif,137.2755,736.2191,172.0000,1291.0000,0.9133,749.0000,1.2363,0.8089,0.9391
29,mNG3K_1.tif,194.8973,499.3217,173.0000,1043.0000,0.7272,477.0000,1.8803,0.5318,0.9037
30,mNG3K_1.tif,140.6650,920.7530,211.0000,1918.0000,0.8217,880.0000,1.5333,0.6522,0.9197
31,mNG3K_1.tif,141.5124,767.8174,276.0000,1313.0000,0.7459,790.0000,2.0915,0.4781,0.9265
32,mNG3K_1.tif,172.8654,393.0172,142.0000,629.0000,0.8914,392.0000,1.1070,0.9033,0.9423
33,mNG3K_1.tif,120.7516,1023.9439,240.0000,1784.0000,0.9190,1061.0000,1.1509,0.8689,0.9344
34,mNG3K_1.tif,179.6444,1196.8514,404.0000,1979.0000,0.9263,1179.0000,1.0816,0.9246,0.9507
35,mNG3K_1.tif,199.9816,989.5254,367.0000,1671.0000,0.8418,983.0000,1.7496,0.5716,0.9584
36,mNG3K_1.tif,252.5191,636.4732,220.0000,1073.0000,0.8568,636.0000,1.3801,0.7246,0.9438
37,mNG3K_1.tif,128.8017,490.9441,150.0000,863.0000,0.9106,482.0000,1.2703,0.7872,0.9368
38,mNG3K_1.tif,93.6354,614.1493,261.0000,950.0000,0.9341,621.0000,1.2127,0.8246,0.9364
39,mNG3K_1.tif,123.2937,495.2302,144.0000,827.0000,0.9531,513.0000,1.2640,0.7912,0.9557
40,mNG3K_1.tif,123.2937,388.3986,189.0000,560.0000,0.9012,394.0000,1.4239,0.7023,0.9525
41,mNG3K_1.tif,81.7721,765.0104,287.0000,1065.0000,0.8630,812.0000,1.0492,0.9531,0.9082
42,mNG3K_1.tif,122.0226,815.3090,296.0000,1319.0000,0.9016,805.0000,1.1861,0.8431,0.9351
43,mNG3K_1.tif,88.5512,972.8230,310.0000,1866.0000,0.8466,944.0000,1.4990,0.6671,0.9147
44,mNG3K_1.tif,86.0090,212.9901,71.0000,333.0000,0.9455,213.0000,1.2755,0.7840,0.9376
45,mNG3K_1.tif,104.2277,729.1260,295.0000,1182.0000,0.7846,731.0000,1.7881,0.5592,0.9213
46,mNG3K_1.tif,266.0772,951.1099,387.0000,1518.0000,0.8220,974.0000,1.4993,0.6670,0.9175
47,mNG3K_1.tif,153.3757,4028.0414,672.0000,11154.0000,0.8289,2991.0000,1.5645,0.6392,0.9199
48,mNG3K_1.tif,108.8883,440.6848,138.0000,772.0000,0.9167,452.0000,1.2941,0.7728,0.9380
49,mNG3K_1.tif,127.9543,188.7517,78.0000,291.0000,0.8979,187.0000,1.1808,0.8469,0.9250
50,mNG3K_1.tif,162.2732,1155.7990,373.0000,2137.0000,0.9089,1126.0000,1.2688,0.7881,0.9504
51,mNG3K_1.tif,85.5853,1128.7277,257.0000,2181.0000,0.8917,1066.0000,1.1794,0.8479,0.9120
52,mNG3K_1.tif,154.6468,856.5836,275.0000,1628.0000,0.8547,848.0000,1.5708,0.6366,0.9347
53,mNG3K_1.tif,113.5488,597.8470,222.0000,947.0000,0.9120,625.0000,1.1915,0.8393,0.9338
54,mNG3K_1.tif,90.6696,207.0561,71.0000,363.0000,0.7144,198.0000,1.9456,0.5140,0.8807
55,mNG3K_1.tif,174.1365,2048.6010,554.0000,3917.0000,0.9037,2067.0000,1.2197,0.8199,0.9492
56,mNG3K_1.tif,130.4964,933.3539,360.0000,1633.0000,0.9129,895.0000,1.1248,0.8890,0.9433
